"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-01",,"68","60",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-02",,"75","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-03",,"76","68",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-04",,"68","27",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-05",,"32","26",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-06",,"47","32",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-07",,"46","27",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-08",,"60","35",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-09",,"69","42",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-10",,"67","53",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-11",,"56","48",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-12",,"75","56",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-13",,"73","57",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-14",,"68","51",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-15",,"78","63",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-16",,"63","49",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-17",,"69","54",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-18",,"76","46",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-19",,"46","37",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-20",,"48","35",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-21",,"65","44",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-22",,"77","59",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-23",,"83","58",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-24",,"81","67",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-25",,"82","69",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-26",,"72","40",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-27",,"54","35",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-28",,"60","38",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-29",,"79","43",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-30",,"43","37",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-01-31",,"40","36",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-01",,"42","36",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-02",,"45","38",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-03",,"42","37",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-04",,"49","41",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-05",,"61","48",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-06",,"67","52",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-07",,"76","53",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-08",,"80","57",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-09",,"58","48",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-10",,"59","48",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-11",,"72","55",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-12",,"70","53",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-13",,"56","36",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-14",,"56","32",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-15",,"70","34",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-16",,"71","38",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-17",,"72","44",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-18",,"73","47",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-19",,"63","45",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-20",,"75","41",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-21",,"73","57",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-22",,"62","37",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-23",,"67","31",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-24",,"80","47",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-25",,"80","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-26",,"80","55",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-27",,"79","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-02-28",,"78","63",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-01",,"63","48",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-02",,"52","43",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-03",,"46","40",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-04",,"57","46",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-05",,"58","43",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-06",,"71","42",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-07",,"76","53",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-08",,"59","39",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-09",,"65","36",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-10",,"72","56",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-11",,"79","65",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-12",,"70","35",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-13",,"51","30",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-14",,"58","30",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-15",,"83","48",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-16",,"73","49",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-17",,"77","43",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-18",,"83","53",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-19",,"66","43",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-20",,"76","37",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-21",,"71","51",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-22",,"77","39",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-23",,"85","47",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-24",,"84","67",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-25",,"87","69",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-26",,"88","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-27",,"75","53",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-28",,"81","51",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-29",,"73","47",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-30",,"73","40",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-03-31",,"74","50",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-01",,"84","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-02",,"81","60",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-03",,"87","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-04",,"71","49",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-05",,"68","43",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-06",,"68","40",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-07",,"73","42",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-08",,"81","59",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-09",,"83","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-10",,"83","65",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-11",,"77","58",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-12",,"81","60",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-13",,"67","49",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-14",,"64","50",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-15",,"68","57",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-16",,"62","53",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-17",,"73","51",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-18",,"80","50",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-19",,"65","55",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-20",,"70","52",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-21",,"74","59",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-22",,"81","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-23",,"76","60",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-24",,"84","59",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-25",,"74","54",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-26",,"77","50",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-27",,"85","65",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-28",,"80","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-29",,"79","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-04-30",,"71","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-01",,"69","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-02",,"84","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-03",,"87","72",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-04",,"89","72",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-05",,"76","68",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-06",,"89","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-07",,"88","75",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-08",,"86","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-09",,"87","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-10",,"84","72",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-11",,"74","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-12",,"80","62",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-13",,"78","65",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-14",,"74","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-15",,"87","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-16",,"90","65",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-17",,"90","63",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-18",,"86","68",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-19",,"92","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-20",,"80","63",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-21",,"88","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-22",,"88","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-23",,"88","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-24",,"90","67",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-25",,"89","68",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-26",,"87","63",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-27",,"81","58",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-28",,"88","68",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-29",,"92","75",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-30",,"93","76",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-05-31",,"93","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-06-01",,"84","67",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-06-02",,"75","69",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-06-03",,"87","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-06-04",,"84","65",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-06-05",,"76","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-06-06",,"80","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-06-07",,"87","62",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-06-08",,"89","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-06-09",,"92","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-06-10",,"92","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-06-11",,"92","72",
