"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-01",,"36","25"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-02",,"28","18"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-03",,"33","16"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-04",,"32","25"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-05",,"41","26"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-06",,"46","34"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-07",,"37","33"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-08",,"39","33"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-09",,"43","34"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-10",,"43","35"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-11",,"38","33"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-12",,"36","32"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-13",,"36","14"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-14",,"24","9"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-15",,"35","20"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-16",,"21","8"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-17",,"22","8"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-18",,"22","13"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-19",,"30","18"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-20",,"34","28"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-21",,"48","34"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-22",,"48","37"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-23",,"42","30"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-24",,"31","18"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-25",,"27","12"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-26",,"36","21"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-27",,"22","17"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-28",,"25","10"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-29",,"20","8"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-30",,"25","10"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-01-31",,"16","-2"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-01",,"25","1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-02",,"18","-3"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-03",,"20","4"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-04",,"30","18"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-05",,"36","26"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-06",,"42","32"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-07",,"47","37"
