"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-01",,"51","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-02",,"45","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-03",,"45","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-04",,"45","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-05",,"45","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-06",,"48","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-07",,"50","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-08",,"48","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-09",,"50","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-10",,"43","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-11",,"42","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-12",,"41","26"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-13",,"45","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-14",,"38","26"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-15",,"34","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-16",,"34","28"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-17",,"35","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-18",,"33","28"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-19",,"34","27"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-20",,"36","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-21",,"48","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-22",,"47","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-23",,"47","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1948-01-24",,"45","34"
